Lake,Counted by,Rep,Julian,Date sampled,DentA,DentJ,DentM,DentE,DentTot,PulA,PulJ,PulM,PulE,PulTot,RetroA,RetroJ,RetroM,RetroE,RetroTot,CerioA,CerioJ,CerioE,CerioTot,DubiaA,DubiaJ,DubiaM,DubiaE,DubiaTot,ParvA,ParvJ,ParvM,ParvE,ParvTot,AmbA,AmbJ,AmbTot,MendA,MendJ,MendM,MendE,MendTot
North,CLS,2,195,7/14/2015,495364.0248,537934.3707,0,0,1033298.396,3870.031444,7740.062888,3870.031444,0,15480.12578,344432.7985,433443.5217,0,0,777876.3202,3870.031444,3870.031444,0,7740.062888,0,0,0,0,0,0,0,0,0,0,7740.062888,0,7740.062888,0,0,0,0,0
North,CLS,1,195,7/14/2015,203821.6561,348302.83,0,0,552124.486,10320.08385,5160.041925,0,0,15480.12578,220591.7923,414093.3645,0,0,634685.1568,0,2580.020963,0,2580.020963,0,0,0,0,0,0,0,0,0,0,2580.020963,0,2580.020963,0,0,0,0,0
Mill,CLS,1,194,7/13/2015,40635.33016,143191.1634,0,0,183826.4936,0,0,0,0,0,451503.6685,485043.941,0,0,936547.6094,5805.047166,13545.11005,0,19350.15722,0,0,0,0,0,30960.25155,51600.41925,0,0,82560.67081,18060.14674,25800.20963,43860.35637,0,0,0,0,0
Mill,CLS,2,194,7/13/2015,77400.62888,100620.8175,0,0,178021.4464,0,0,0,0,0,608884.9472,570184.6328,0,0,1179069.58,9675.07861,17415.1415,0,27090.22011,0,0,0,0,0,32895.26727,44505.36161,0,0,77400.62888,36765.29872,21285.17294,58050.47166,0,0,0,0,0
Bishop,CLS,1,215,8/3/2015,58050.47166,127711.0377,0,0,185761.5093,0,0,0,0,0,305732.4841,553414.4965,0,0,859146.9806,0,0,0,0,0,3870.031444,0,0,3870.031444,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop,CLS,2,215,8/3/2015,92880.75466,108360.8804,0,0,201241.6351,0,0,0,0,0,358622.9138,619205.031,0,0,977827.9449,0,0,0,0,2580.020963,7740.062888,0,0,10320.08385,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop,CLS,1,301,10/28/2015,28380.23059,25800.20963,11610.09433,5160.041925,70950.57647,0,0,0,0,0,104490.849,85140.69177,27090.22011,0,216721.7609,5160.041925,5160.041925,5160.041925,15480.12578,6450.052407,3870.031444,0,0,10320.08385,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop,CLS,2,301,10/28/2015,18060.14674,2580.020963,10320.08385,2580.020963,33540.27251,0,0,0,0,0,61920.5031,69660.56599,12900.10481,0,144481.1739,11610.09433,7740.062888,1935.015722,21285.17294,1935.015722,1935.015722,0,0,3870.031444,0,0,0,0,0,0,0,0,0,0,0,0,0
Walsh,CLS,1,194,7/13/2015,172861.4045,116100.9433,0,0,288962.3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walsh,CLS,2,194,7/13/2015,103200.8385,134161.0901,0,0,237361.9286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop,CLS,1,285,10/12/2015,12900.10481,25800.20963,7740.062888,0,46440.37733,0,0,0,0,0,34830.283,123841.0062,3870.031444,0,162541.3206,0,2580.020963,0,2580.020963,5160.041925,7740.062888,0,0,12900.10481,0,0,0,0,0,2580.020963,0,2580.020963,0,0,0,0,0
Bishop,CLS,2,285,10/12/2015,30960.25155,38700.31444,11610.09433,0,81270.66032,0,0,0,0,0,42570.34588,69660.56599,3870.031444,0,116100.9433,7740.062888,3870.031444,0,11610.09433,3870.031444,11610.09433,0,0,15480.12578,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill,CLS,1,236,8/24/2015,51600.41925,54180.44022,0,0,105780.8595,0,0,0,0,0,228331.8552,150931.2263,0,0,379263.0815,0,0,0,0,0,0,0,0,0,23220.18866,20640.1677,0,0,43860.35637,0,0,0,0,0,0,0,0
Mill,CLS,2,236,8/24/2015,28380.23059,41280.3354,0,0,69660.56599,0,0,0,0,0,181891.4779,181891.4779,0,0,363782.9557,2580.020963,0,0,2580.020963,0,0,0,0,0,54180.44022,56760.46118,0,0,110940.9014,0,0,0,0,0,0,0,0
Mill,CLS,1,219,8/7/2015,29025.23583,27090.22011,0,0,56115.45594,0,0,0,0,0,157381.2787,159961.2997,0,0,317342.5784,28380.23059,41280.3354,0,69660.56599,0,0,0,0,0,366362.9767,294122.3897,0,0,660485.3664,19350.15722,0,19350.15722,0,0,0,0,0
Mill,CLS,2,219,8/7/2015,38700.31444,30960.25155,0,0,69660.56599,0,0,0,0,0,123841.0062,131581.0691,0,0,255422.0753,41280.3354,38700.31444,0,79980.64984,0,0,0,0,0,278642.264,328952.6727,0,0,607594.9367,18576.15093,0,18576.15093,0,0,0,0,0
Mill,CLS,1,264,9/21/2015,58050.47166,54180.44022,0,3870.031444,116100.9433,0,0,0,0,0,116100.9433,136741.111,0,0,252842.0543,0,2580.020963,0,2580.020963,0,0,0,0,0,2580.020963,0,0,0,2580.020963,0,0,0,0,0,0,0,0
