Species	BigJulian	Julian	Date	Lake	CountedBy	Total	UA	UJ	UninfectedMales	UninfectedEphip	APasteuria	JPasteuria	MalePasteuria	EphipPastueria	Brood	ACaullerya	JCaullerya	MaleCaullerya	EphipCaullerya	AWBD	JWBD	MaleWBD	AScarlet	JScarlet	MaleScarlet	EphipScarlet	AMetsch	JMetsch	MaleMetsch	EphipMetsch	ALarssonia	JLarssonia	ASpider	JSpider	MaleSpider	JPastMetsch	ACaullPasteuria	JCaullPasteuria	ACaullBrood	UnknownMicrosporidian	AMilkyGut	AGut	BroodEphip	MetschEphip	SpiderEphip	Hyphal.brood	Unknown	Unknown.oval.parasite..probably.microsporidian.	ACaullLarss	WBDJ	EphipScar	AUnknownGut	JUnknownGut	MaleUnknownGut	AScar	ACaull	JCaull	AMetschCaull	X	EphipWBD	BroodWBD	Ovary	EphipCaull	Brood.1	Spider	AGurleya	Hyphalbrood	AMetschLarssonia	AUnknownMicrosporidian	AUnknown	Gurleya	ASpiderPast	APastBrood	APastMetsch	ACaulPast	BroodLarssonia	APastCaullerya	betterDates	pasttot	proppast	metschtot	propmetsch	broodtot	propbrood	caulltot	propcaull	scartot	propscar	larsstot	proplarss	spidertot	propspider	gurleyatot	propgurleya
dentifera	15132	132	5/12/2015	Walsh	CDG	320	107	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/12/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15132	132	5/12/2015	Mill	KKH	291	110	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/12/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15133	133	5/13/2015	Bruin	KKH	60	33	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/13/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15133	133	5/13/2015	North	CLS	201	64	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/13/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15133	133	5/13/2015	CrookedP	CDG	209	85	123	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/13/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15135	135	5/15/2015	Cedar	CLS	61	24	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/15/2020	0	0	0	0	0	0	0	0	0	0	1	0.016393443	0	0	0	0
dentifera	15135	135	5/15/2015	CrookedW	KKH	80	29	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/15/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15138	138	5/18/2015	Appleton	CLS	326	148	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/18/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15138	138	5/18/2015	LittleAppleton	CDG	236	114	119	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/18/2020	0	0	0	0	3	0.012711864	0	0	0	0	0	0	0	0	0	0
dentifera	15138	138	5/18/2015	Bishop	KKH	210	68	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/18/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15140	140	5/20/2015	Sullivan	CLS	209	47	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/20/2020	0	0	0	0	0	0	0	0	3	0.014354067	0	0	0	0	0	0
dentifera	15140	140	5/20/2015	Pickerel	KKH	208	71	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/20/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15140	140	5/20/2015	Gosling	CDG	205	98	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/20/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15141	141	5/21/2015	Woodland	CLS	236	59	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/21/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15141	141	5/21/2015	Whitmore	CDG	211	113	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/21/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
