sample,Species,Lake,year,collection date,date,Julian,Plate #,p1,p2,p3,p4,p7,p11,p12,p16,p17,p18,p19
B.C1.8.4.2015,Cerio,B,2015,8.4.2015,1/21/2016,216,7857,196,288,376,276,165,308,134,,223,156,232
B.D1.10.28.2015,dentifera,B,2015,10.28.2015,1/21/2016,301,7858,252,288,,325,128,431,250,,223,,267
B.D1.8.17.15,dentifera,B,2015,8.17.2015,7/9/2018,229,8900,269,279,387,284,174,,255,153,223,187,255
B.D1.8.31.2015,dentifera,B,2015,8.31.2015,6/22/2017,243,8501,269,279,387,284,174,,255,153,223,187,255
B.D1.8.4.15,dentifera,B,2015,8.4.2015,1/21/2016,216,7857,356,440,,334,165,446,250,,223,171,236
B.D1.8.4.15.7.9.18,dentifera,B,2015,8.4.2015,7/9/2018,216,8900,269,288,387,308,192,431,259,270,223,187,290
B.D2.8.31.2015,dentifera,B,2015,8.31.2015,6/22/2017,243,8501,269,279,387,284,174,,255,153,223,187,255
B.D2.8.4.2015,dentifera,B,2015,8.4.2015,1/21/2016,216,7858,269,288,387,308,192,440,259,270,223,187,290
B.D3.8.31.2015,dentifera,B,2015,8.31.2015,6/22/2017,243,8501,269,279,387,284,174,,255,153,223,187,255
B.D3.8.4.2015,dentifera,B,2015,8.4.2015,1/21/2016,216,7858,269,288,387,308,192,431,259,270,223,187,290
B.D4.8.31.2015,dentifera,B,2015,8.31.2015,6/22/2017,243,8501,427,458,,317,137,409,174,204,223,187,282
B.D4.8.4.15,dentifera,B,2015,8.4.2015,1/21/2016,216,7857,269,288,387,308,192,431,259,270,223,187,290
B.D5.8.4.2015(B.D5.10.28.15),dentifera,B,2015,8.4.2015,1/21/2016,216,7858,269,288,387,308,192,431,259,270,223,187,290
B.D6.8.4.15,dentifera,B,2015,8.4.2015,1/21/2016,216,7857,269,288,387,308,192,431,259,270,223,187,290
B.D7.8.4.15,dentifera,B,2015,8.4.2015,1/21/2016,216,7857,269,288,387,308,192,431,259,270,223,187,290
B.R1.10.28.2015(6),retrocurva,B,2015,10.28.2015,1/21/2016,301,7858,,270,387,334,119,352,155,261,223,,302
B.R1.8.31.2015,retrocurva,B,2015,8.31.2015,6/22/2017,243,8501,276,279,387,334,165,352,155,153,223,187,249
B.R1.8.4.15(B.R1.10.28.15.1),retrocurva,B,2015,8.4.2015,1/21/2016,216,7857,,279,387,334,165,352,155,153,223,187,249
B.R2.10.28.2015,retrocurva,B,2015,10.28.2015,1/21/2016,301,7858,,270,387,334,,352,155,261,223,187,302
B.R2.8.31.2015,retrocurva,B,2015,8.31.2015,6/22/2017,243,8501,,279,387,334,165,352,155,153,223,187,249
B.R2.8.4.15(B.R2.10.28.15),retrocurva,B,2015,8.4.2015,1/21/2016,216,7857,,270,360,308,119,352,155,261,223,187,302
B.R3.10.28.2015,retrocurva,B,2015,10.28.2015,1/21/2016,301,7858,,270,387,334,119,352,155,261,223,187,302
B.R3.8.31.2015,retrocurva,B,2015,8.31.2015,6/22/2017,243,8501,,279,387,334,165,352,155,153,223,187,249
B.R4.10.28.2015,retrocurva,B,2015,10.28.2015,1/21/2016,301,7858,,270,387,334,119,352,155,261,223,187,302
B.R4.8.31.2015,retrocurva,B,2015,8.31.2015,6/22/2017,243,8501,,279,387,334,165,352,155,153,223,187,249
B.R5.8.4.15(B.R5.10.28.2015),retrocurva,B,2015,8.4.2015,1/21/2016,216,7857,302,270,387,334,119,352,155,261,223,187,302
Ce.D1.11.6.15,dentifera,Ce,2015,11.6.2015,1/28/2016,310,7868,252,288,387,308,220,367,259,270,223,187,290
Ce.D1.7.30.15,dentifera,Ce,2015,7.30.2015,1/28/2016,211,7868,269,458,,317,183,345,213,153,223,187,242
Ce.D2.11.6.15,dentifera,Ce,2015,11.6.2015,1/28/2016,310,7868,252,288,387,308,220,367,259,270,223,187,290
Ce.D2.7.30.15,dentifera,Ce,2015,7.30.2015,1/28/2016,211,7868,252,288,387,308,220,367,259,270,223,187,290
Ce.D3.11.6.15,dentifera,Ce,2015,11.6.2015,1/28/2016,310,7868,252,288,387,308,229,367,259,270,223,187,290
Ce.D4.11.6.15,dentifera,Ce,2015,11.6.2015,1/28/2016,310,7868,252,288,387,308,220,367,259,270,223,187,290
Ce.D4.7.30.15,dentifera,Ce,2015,7.30.2015,1/28/2016,211,7868,286,458,,382,183,409,174,207,223,187,282
Ce.D5.11.6.15,dentifera,Ce,2015,11.6.2015,1/28/2016,310,7869,252,288,387,308,229,367,259,270,223,187,290
Ce.D6.11.6.15,dentifera,Ce,2015,11.6.2015,1/28/2016,310,7869,252,288,387,308,229,367,259,270,223,187,290
Ce.D7.11.6.15,dentifera,Ce,2015,11.6.2015,1/28/2016,310,7869,252,288,387,308,229,367,259,270,223,187,290
Ce.D8.11.6.15,dentifera,Ce,2015,11.6.2015,1/28/2016,310,7869,252,288,387,308,220,367,259,270,223,187,290
CP.C1.8.16.17,Cerio,CP,2017,8.16.2017,1/23/2019,228,9030,196,288,376,276,165,308,134,247,223,156,232
CP.D1.10.25.17,dentifera,CP,2017,10.25.2017,11/5/2018,298,9002,269,288,387,317,192,,292,270,223,187,290
CP.D1.8.16.17,dentifera,CP,2017,8.16.2017,1/23/2019,228,9030,302,279,387,317,192,395,250,153,223,187,
CP.D1.8.3.17,dentifera,CP,2017,8.3.2017,1/23/2019,215,9030,302,440,,325,,360,259,207,223,171,271
CP.D1.8.31.17,dentifera,CP,2017,8.31.2017,2/1/2019,243,9033,302,440,,325,,360,259,204,223,171,271
CP.D1.9.13.17,dentifera,CP,2017,9.13.2017,2/12/2019,256,9041,302,440,,325,,360,299,,223,171,255
CP.D1.9.28.17,dentifera,CP,2017,9.28.2017,12/11/2018,271,9014,269,288,387,308,192,440,259,270,223,187,290
CP.D2.10.25.17,dentifera,CP,2017,10.25.2017,12/11/2018,298,9014,,279,387,288,183,446,174,,223,187,249
CP.D2.8.16.17,dentifera,CP,2017,8.16.2017,1/23/2019,228,9030,,440,,325,128,360,259,285,223,187,271
CP.D2.8.3.17,dentifera,CP,2017,8.3.2017,1/23/2019,215,9030,233,458,,284,,409,250,,223,171,236
CP.D2.8.31.17,dentifera,CP,2017,8.31.2017,2/1/2019,243,9033,302,440,,325,,360,259,,223,171,271
CP.D2.9.13.17,dentifera,CP,2017,9.13.2017,2/12/2019,256,9041,269,288,387,308,192,424,259,270,223,187,290
CP.D2.9.28.17,dentifera,CP,2017,9.28.2017,12/11/2018,271,9014,215,440,,317,128,416,292,326,223,171,236
CP.D3.10.25.17,dentifera,CP,2017,10.25.2017,12/11/2018,298,9002,,,,284,192,446,292,,223,,236
CP.D3.8.16.17,dentifera,CP,2017,8.16.2017,1/23/2019,228,9030,233,458,,334,,409,250,,223,171,236
CP.D3.8.3.17,dentifera,CP,2017,8.3.2017,1/23/2019,215,9030,302,440,,325,,360,299,,223,171,257
CP.D3.8.31.17,dentifera,CP,2017,8.31.2017,2/1/2019,243,9033,302,440,,325,,360,259,,223,171,271
CP.D3.9.13.17,dentifera,CP,2017,9.13.2017,2/12/2019,256,9041,445,279,387,,,,174,280,223,187,249
CP.D3.9.28.17,dentifera,CP,2017,9.28.2017,12/11/2018,271,9014,233,279,387,325,183,360,250,280,223,187,236
CP.D4.10.25.17,dentifera,CP,2017,10.25.2017,12/11/2018,298,9014,427,279,387,317,192,395,259,270,223,187,271
CP.D4.8.16.17,dentifera,CP,2017,8.16.2017,1/23/2019,228,9030,302,440,,325,188,360,259,,223,171,271
CP.D4.8.3.17,dentifera,CP,2017,8.3.2017,1/23/2019,215,9030,302,440,,325,,360,299,167,223,171,257
CP.D4.8.31.17,dentifera,CP,2017,8.31.2017,2/1/2019,243,9033,233,458,,334,,409,250,,223,171,236
CP.D4.9.13.17,dentifera,CP,2017,9.13.2017,2/12/2019,256,9041,,458,,350,128,395,194,285,223,187,265
CP.D4.9.28.17,dentifera,CP,2017,9.28.2017,12/11/2018,271,9014,233,279,387,334,183,409,250,280,223,187,236
CP.D5.10.25.17,dentifera,CP,2017,10.25.2017,2/1/2019,298,9033,269,288,387,308,192,474,259,270,223,187,261
CP.D5.8.16.17,dentifera,CP,2017,8.16.2017,1/23/2019,228,9030,233,458,354,334,,409,250,299,223,171,236
CP.D5.8.3.17,dentifera,CP,2017,8.3.2017,1/23/2019,215,9030,302,440,,325,,360,259,,223,171,271
CP.D5.8.31.17,dentifera,CP,2017,8.31.2017,2/1/2019,243,9033,269,288,387,308,192,424,259,270,223,187,290
CP.D5.9.13.17,dentifera,CP,2017,9.13.2017,2/12/2019,256,9041,302,440,,325,,360,259,,223,171,271
CP.D5.9.28.17,dentifera,CP,2017,9.28.2017,12/11/2018,271,9014,302,440,,325,128,367,259,207,223,171,271
CP.D6.8.16.17,dentifera,CP,2017,8.16.2017,1/23/2019,228,9030,356,458,,334,,446,250,207,223,171,236
CP.D6.8.3.17,dentifera,CP,2017,8.3.2017,1/23/2019,215,9030,233,458,,334,,409,250,,223,171,236
CP.D6.8.31.17,dentifera,CP,2017,8.31.2017,2/1/2019,243,9033,427,279,387,317,192,395,299,153,223,187,271
CP.D6.9.13.17,dentifera,CP,2017,9.13.2017,2/12/2019,256,9041,445,279,387,350,183,,174,280,223,187,249
CP.D6.9.28.17,dentifera,CP,2017,9.28.2017,12/11/2018,271,9014,,,,350,128,,194,285,223,187,265
CP.D7.8.16.17,dentifera,CP,2017,8.16.2017,1/23/2019,228,9030,427,279,387,317,192,395,299,153,223,187,271
CP.D7.8.3.17,dentifera,CP,2017,8.3.2017,2/1/2019,215,9033,356,458,,334,,446,250,207,223,171,236
CP.D7.8.31.17,dentifera,CP,2017,8.31.2017,2/1/2019,243,9033,302,440,,325,,360,259,207,223,171,271
CP.D7.9.13.17,dentifera,CP,2017,9.13.2017,2/12/2019,256,9041,427,279,387,325,183,409,194,153,223,187,271
CP.D7.9.28.17,dentifera,CP,2017,9.28.2017,2/12/2019,271,9041,302,440,,325,,360,259,,223,171,271
CP.D8.8.16.17,dentifera,CP,2017,8.16.2017,2/1/2019,228,9033,302,440,,325,,360,259,,223,171,271
CP.D8.8.31.17,dentifera,CP,2017,8.31.2017,2/1/2019,243,9033,233,458,,284,128,409,250,352,223,171,236
CP.D8.9.13.17,dentifera,CP,2017,9.13.2017,2/12/2019,256,9041,,458,,350,128,395,194,285,223,187,265
CP.D8.9.28.17,dentifera,CP,2017,9.28.2017,2/12/2019,271,9041,,458,,350,128,395,194,285,223,187,265
CW.D1.10.9.15,dentifera,CW,2015,10.9.2015,7/9/2018,282,8900,252,288,387,308,220,367,259,270,223,,290
CW.D2.10.9.15,dentifera,CW,2015,10.9.2015,7/9/2018,282,8900,269,,,317,183,345,213,153,223,187,242
CW.D3.10.9.15,dentifera,CW,2015,10.9.2015,7/9/2018,282,8900,269,279,396,308,156,395,267,261,223,187,267
CW.D4.10.9.15,dentifera,CW,2015,10.9.2015,7/9/2018,282,8900,252,288,387,308,220,367,259,270,223,187,290
CW.D5.10.9.15,dentifera,CW,2015,10.9.2015,11/5/2018,282,9002,252,288,387,308,220,367,259,270,223,187,290
CW.D6.10.9.15,dentifera,CW,2015,10.9.2015,11/5/2018,282,9002,252,288,387,308,220,367,259,270,223,187,290
CW.D7.10.9.15,dentifera,CW,2015,10.9.2015,11/5/2018,282,9002,252,288,387,308,229,367,259,270,223,187,290
CW.D8.10.9.15,dentifera,CW,2015,10.9.2015,11/5/2018,282,9002,252,288,387,308,220,367,259,270,223,187,290
CW.R1.10.9.15,retrocurva,CW,2015,10.9.2015,7/9/2018,282,8900,,296,387,308,119,409,155,153,223,187,267
CW.R2.10.9.15,retrocurva,CW,2015,10.9.2015,7/9/2018,282,8900,,296,387,308,119,,155,153,,,
G.D1.9.1.15,dentifera,G,2015,9.1.2015,11/5/2018,244,9002,269,279,387,358,192,387,255,153,223,187,271
G.D2.9.1.15,dentifera,G,2015,9.1.2015,11/5/2018,244,9002,269,279,387,358,192,387,255,153,223,187,271
L.D1.10.13.17,dentifera,L,2017,10.13.2017,11/5/2018,286,9002,269,288,387,308,192,446,259,270,223,187,290
L.D1.10.3.17,dentifera,L,2017,10.3.2017,11/5/2018,276,9002,269,288,387,308,192,,259,270,223,,290
L.D1.7.21.15,dentifera,L,2015,7.21.2015,1/28/2016,202,7869,252,458,,350,128,,259,,223,187,265
L.D1.7.30.17,dentifera,L,2017,7.30.2017,12/11/2018,211,9014,,,,350,128,,194,,223,187,265
L.D1.8.28.17,dentifera,L,2017,8.28.2017,1/11/2019,240,9026,269,288,387,308,192,467,259,153,223,187,261
L.D1.9.17.17,dentifera,L,2017,9.17.2017,11/5/2018,260,9002,269,288,387,308,192,,259,270,223,187,290
